+-----+---------------------------------------------------------+--------------------------------------------+---------------+
| id  | title                                                   | artist                                     | genre         |
| 232 | My Way                                                  | Frank Sinatra                              | Jazz          |
| 233 | Fly Me to the Moon                                      | Frank Sinatra                              | Jazz          |
| 234 | Come Fly with Me                                        | Frank Sinatra                              | Jazz          |
| 235 | New York, New York                                      | Frank Sinatra                              | Jazz          |
| 236 | What a Wonderful World                                  | Louis Armstrong                            | Jazz          |
| 237 | Summertime (from Porgy & Bess)                          | Ella Fitzgerald                            | Jazz          |
| 238 | Strange Fruit (Billie Holiday)                          | Billie Holiday                             | Jazz          |
| 239 | My Funny Valentine                                      | Chet Baker                                 | Jazz          |
| 240 | Take Five                                               | Dave Brubeck                               | Jazz          |
| 241 | So What                                                 | Miles Davis                                | Jazz          |
| 242 | My Favorite Things                                      | John Coltrane                              | Jazz          |
| 243 | God Only Knows (Live)                                   | The Beach Boys                             | Pop           |
| 244 | Surfin? USA                                             | The Beach Boys                             | Rock          |
| 245 | Fun Fun Fun                                             | The Beach Boys                             | Rock          |
| 246 | Good Vibrations (Live)                                  | The Beach Boys                             | Pop           |
| 247 | Blue Bayou                                              | Roy Orbison                                | Rock          |
| 248 | Pretty Woman                                            | Roy Orbison                                | Rock          |
| 249 | Only the Lonely                                         | Roy Orbison                                | Rock          |
| 250 | Loretta                                                 | Roy Orbison                                | Rock          |
| 251 | Somebody to Love                                        | Jefferson Airplane                         | Rock          |
| 252 | White Rabbit                                            | Jefferson Airplane                         | Rock          |
| 253 | Break On Through                                        | The Doors                                  | Rock          |
| 254 | Light My Fire                                           | The Doors                                  | Rock          |
| 255 | Riders on the Storm                                     | The Doors                                  | Rock          |
| 256 | Oye Como Va                                             | Santana                                    | Rock/Latin    |
| 257 | Black Magic Woman                                       | Santana                                    | Rock          |
| 258 | Europa (Earth?s Cry Heaven?s Smile)                     | Santana                                    | Rock          |
| 259 | Smooth (Santana)                                        | Santana ft. Rob Thomas                     | Rock/Latin    |
| 260 | Eruption                                                | Van Halen                                  | Rock          |
| 261 | Hot for Teacher                                         | Van Halen                                  | Rock          |
| 262 | Panama                                                  | Van Halen                                  | Rock          |
| 263 | Running with the Devil                                  | Van Halen                                  | Rock          |
| 264 | Ain?t Talkin? ?Bout Love                                | Van Halen                                  | Rock          |
| 265 | God Bless the USA                                       | Lee Greenwood                              | Country       |
| 266 | The Star-Spangled Banner (Jimi Hendrix)                 | Jimi Hendrix                               | Rock          |
| 267 | Purple Haze                                             | Jimi Hendrix                               | Rock          |
| 268 | All Along the Watchtower (Jimi Hendrix)                 | Jimi Hendrix                               | Rock          |
| 269 | Voodoo Child (Slight Return)                            | Jimi Hendrix                               | Rock          |
| 270 | Riders on the Storm (Live)                              | The Doors                                  | Rock          |
| 271 | In-A-Gadda-Da-Vida                                      | Iron Butterfly                             | Rock          |
| 272 | Paint It Black (Live)                                   | The Rolling Stones                         | Rock          |
| 273 | Stray Cat Strut                                         | Stray Cats                                 | Rock          |
| 274 | At Last                                                 | Etta James                                 | R&B           |
| 275 | God Only Knows (Brian Wilson)                           | Brian Wilson                               | Pop           |
| 276 | Forever Young                                           | Bob Dylan                                  | Folk          |
| 277 | The Times They Are A-Changin?                           | Bob Dylan                                  | Folk          |
| 278 | Blowin? in the Wind                                     | Bob Dylan                                  | Folk          |
| 279 | Mr. Tambourine Man                                      | Bob Dylan                                  | Folk          |
| 280 | It Ain?t Me Babe                                        | Bob Dylan                                  | Folk          |
| 281 | Mack the Knife                                          | Bobby Darin                                | Jazz          |
| 282 | Beyond the Sea                                          | Bobby Darin                                | Jazz          |
| 283 | Sixteen Tons                                            | Tennessee Ernie Ford                       | Country       |
| 284 | City of New Orleans                                     | Arlo Guthrie                               | Folk          |
| 285 | The House of the Rising Sun                             | The Animals                                | Rock          |
| 286 | Tears in Heaven                                         | Eric Clapton                               | Rock          |
| 287 | Wonderful Tonight                                       | Eric Clapton                               | Rock          |
| 288 | Lay Down Sally                                          | Eric Clapton                               | Rock          |
| 289 | Layla (Eric Clapton unplugged)                          | Eric Clapton                               | Rock          |
| 290 | A Whiter Shade of Pale                                  | Procul Harum                               | Rock          |
| 291 | Sit Down, I Think I Love You                            | Buffalo Springfield                        | Rock          |
| 292 | For What It?s Worth                                     | Buffalo Springfield                        | Rock          |
| 293 | I?m a Believer                                          | The Monkees                                | Pop           |
| 294 | Last Train to Clarksville                               | The Monkees                                | Pop           |
| 295 | Light My Fire (Alternate Version)                       | The Doors                                  | Rock          |
| 296 | Wish You Were Here                                      | Pink Floyd                                 | Rock          |
| 297 | Money (Pink Floyd)                                      | Pink Floyd                                 | Rock          |
| 298 | Another Brick in the Wall                               | Pink Floyd                                 | Rock          |
| 299 | Comfortably Numb                                        | Pink Floyd                                 | Rock          |
| 300 | Time (Pink Floyd)                                       | Pink Floyd                                 | Rock          |
| 301 | Bridge Over Troubled Water (Live)                       | Simon & Garfunkel                          | Folk          |
| 302 | Scarborough Fair/Canticle                               | Simon & Garfunkel                          | Folk          |
| 303 | The Boxer                                               | Simon & Garfunkel                          | Folk          |
| 304 | Cecilia                                                 | Simon & Garfunkel                          | Folk          |
| 305 | Graceland                                               | Paul Simon                                 | Rock          |
| 306 | Diamonds on the Soles of Her Shoes                      | Paul Simon                                 | Rock          |
| 307 | Mrs. Robinson                                           | Simon & Garfunkel                          | Folk          |
| 308 | The Sound of Silence (Disturbed version)                | Disturbed                                  | Rock          |
| 309 | Eye of the Tiger                                        | Survivor                                   | Rock          |
| 310 | Dream On                                                | Aerosmith                                  | Rock          |
| 311 | Sweet Emotion                                           | Aerosmith                                  | Rock          |
| 312 | Come Together                                           | The Beatles                                | Rock          |
| 313 | Something (Beatles)                                     | The Beatles                                | Rock          |
| 314 | Penny Lane                                              | The Beatles                                | Pop           |
| 315 | Revolution 1                                            | The Beatles                                | Rock          |
| 316 | The End                                                 | The Beatles                                | Rock          |
| 317 | Blue Suede Shoes (Alternate)                            | Elvis Presley                              | Rock          |
| 318 | It?s Now or Never                                       | Elvis Presley                              | Rock          |
| 319 | Are You Lonesome Tonight                                | Elvis Presley                              | Rock          |
| 320 | We Wish You a Merry Christmas (Bruce Springsteen)       | Bruce Springsteen                          | Rock          |
| 321 | Jingle Bell Rock                                        | Bobby Helms                                | Rock          |
| 322 | King of the Road                                        | Roger Miller                               | Country       |
| 323 | Ring of Fire                                            | Johnny Cash                                | Country       |
| 324 | Folsom Prison Blues                                     | Johnny Cash                                | Country       |
| 325 | I Walk the Line                                         | Johnny Cash                                | Country       |
| 326 | Wonderful Life                                          | Black                                      | Rock          |
| 327 | Blackbird                                               | The Beatles                                | Folk          |
| 328 | The Long and Winding Road                               | The Beatles                                | Pop           |
| 329 | Twist and Shout                                         | The Beatles                                | Rock          |
| 330 | She Loves You                                           | The Beatles                                | Pop           |
| 331 | Sic Semper Tyrannis                                     | Los Lobos                                  | Rock          |
| 332 | Paula Abdul ? ?Straight Up?                             | Paula Abdul                                | Pop           |
| 333 | Como la Flor                                            | Selena                                     | Tejano        |
| 334 | Bidi Bidi Bom Bom                                       | Selena                                     | Tejano        |
| 335 | Dreaming of You                                         | Selena                                     | Pop           |
| 336 | Let's Get It Started                                    | Black Eyed Peas                            | Pop           |
| 337 | Where Is The Love?                                      | Black Eyed Peas                            | Pop           |
| 338 | The Middle                                              | Jimmy Eat World                            | Alternative   |
| 339 | Ocean Avenue                                            | Yellowcard                                 | Rock          |
| 340 | My Hero                                                 | Foo Fighters                               | Rock          |
| 341 | Everlong                                                | Foo Fighters                               | Rock          |
| 342 | Learn to Fly                                            | Foo Fighters                               | Rock          |
| 343 | Basket Case                                             | Green Day                                  | Rock          |
| 344 | When I Come Around                                      | Green Day                                  | Rock          |
| 345 | Holiday                                                 | Green Day                                  | Rock          |
| 346 | Yesterday                                               | Beatles                                    | Pop           |
| 347 | Hey Jude                                                | Beatles                                    | Pop           |
| 348 | Imagine                                                 | John Lennon                                | Pop           |
| 349 | Like a Rolling Stone (Rhino)                            | Bob Dylan                                  | Folk          |
| 350 | Space Oddity (Kygo remix)                               | David Bowie                                | Electronic    |
